id,y_true,y_pred,absolute_error
1737627132.487898,162.0,125.04342485444745,36.95657514555255
1737627134.517927,115.0,138.35423107449964,23.354231074499637
1737627136.594698,79.0,116.18374385594583,37.183743855945835
1737627138.623937,107.0,179.47709948062067,72.47709948062067
1737627140.649535,201.0,91.37235292749102,109.62764707250898
1737627142.681047,85.0,179.09310043820554,94.09310043820554
1737627144.710268,265.0,207.92152620299922,57.07847379700078
1737627146.721093,237.0,157.80199942631646,79.19800057368354
1737627148.73772,103.0,129.83194068571228,26.831940685712283
1737627150.752929,79.0,116.18374385594583,37.183743855945835
1737627152.773867,268.0,210.87358259572397,57.126417404276026
1737627154.792772,141.0,166.00456206850896,25.00456206850896
1737627156.813093,121.0,211.264772148157,90.264772148157
1737627158.824069,95.0,152.75921551728555,57.759215517285554
1737627160.836068,270.0,236.71124237224717,33.28875762775283
1737627162.867521,72.0,50.859338459277225,21.140661540722775
1737627164.880943,148.0,132.175618882606,15.824381117394012
1737627166.892911,277.0,254.06106202466918,22.938937975330816
1737627168.903382,66.0,176.4441606004218,110.44416060042181
1737627170.915821,279.0,214.21202513189445,64.78797486810555
1737627172.926905,248.0,203.7505820486254,44.249417951374596
1737627174.94221,74.0,131.08564973096998,57.085649730969976
1737627176.957358,200.0,151.24730648245344,48.75269351754656
1737627178.972206,180.0,172.5523133160796,7.447686683920409
1737627180.989215,74.0,88.10180945898983,14.101809458989834
1737627183.004296,99.0,228.5856345084469,129.5856345084469
1737627185.034499,274.0,245.4709782980075,28.52902170199249
1737627187.050897,74.0,131.08564973096998,57.085649730969976
1737627189.064006,99.0,228.5856345084469,129.5856345084469
1737627191.078924,288.0,209.09168695805238,78.90831304194762
1737627193.089946,121.0,211.264772148157,90.264772148157
1737627195.10025,158.0,95.3081803713743,62.691819628625694
1737627197.117282,73.0,152.38094687603638,79.38094687603638
1737627199.133939,189.0,204.06083656673704,15.060836566737038
1737627201.167928,129.0,190.14593543639543,61.14593543639543
1737627203.181901,72.0,65.3907931623051,6.609206837694899
1737627205.195543,115.0,138.35423107449964,23.354231074499637
1737627207.2107,308.0,263.7858956299527,44.21410437004732
1737627209.24196,206.0,166.91487055437787,39.08512944562213
1737627211.252977,186.0,199.01864200988092,13.01864200988092
1737627213.263939,142.0,189.8713185194267,47.871318519426694
1737627215.278808,87.0,89.95910251657962,2.9591025165796196
1737627217.28979,86.0,155.22757789951248,69.22757789951248
1737627219.301439,128.0,98.72418096807094,29.27581903192906
1737627221.322699,92.0,123.47449269104541,31.474492691045413
1737627223.336067,85.0,58.37882693745455,26.621173062545452
1737627225.349946,104.0,157.72588257467416,53.72588257467416
1737627227.362043,245.0,252.45178834291073,7.4517883429107314
1737627229.391115,55.0,149.46756884126117,94.46756884126117
